
 size= 50 ;  iter= 1 

 size= 50 ;  iter= 2 

 size= 50 ;  iter= 3 

 size= 50 ;  iter= 4 

 size= 50 ;  iter= 5 

 size= 50 ;  iter= 6 

 size= 50 ;  iter= 7 

 size= 50 ;  iter= 8 

 size= 50 ;  iter= 9 

 size= 50 ;  iter= 15 

 size= 50 ;  iter= 16 

 size= 50 ;  iter= 17 

 size= 50 ;  iter= 11 

 size= 50 ;  iter= 10 

 size= 50 ;  iter= 13 

 size= 50 ;  iter= 14 

 size= 50 ;  iter= 12 

 size= 50 ;  iter= 18 

 size= 50 ;  iter= 24 

 size= 50 ;  iter= 26 

 size= 50 ;  iter= 25 

 size= 50 ;  iter= 20 

 size= 50 ;  iter= 21 

 size= 50 ;  iter= 19 

 size= 50 ;  iter= 22 

 size= 50 ;  iter= 23 

 size= 50 ;  iter= 27 

 size= 50 ;  iter= 33 

 size= 50 ;  iter= 29 

 size= 50 ;  iter= 35 

 size= 50 ;  iter= 34 

 size= 50 ;  iter= 30 

 size= 50 ;  iter= 28 

 size= 50 ;  iter= 31 

 size= 50 ;  iter= 36 

 size= 50 ;  iter= 32 

 size= 50 ;  iter= 42 

 size= 50 ;  iter= 38 

 size= 50 ;  iter= 43 

 size= 50 ;  iter= 39 

 size= 50 ;  iter= 44 

 size= 50 ;  iter= 40 

 size= 50 ;  iter= 37 

 size= 50 ;  iter= 45 

 size= 50 ;  iter= 41 

 size= 50 ;  iter= 48 

 size= 50 ;  iter= 47 

 size= 50 ;  iter= 49 

 size= 50 ;  iter= 46 

 size= 50 ;  iter= 50 
