
 size= 1000 ;  iter= 1 

 size= 1000 ;  iter= 2 

 size= 1000 ;  iter= 3 

 size= 1000 ;  iter= 4 

 size= 1000 ;  iter= 5 

 size= 1000 ;  iter= 6 

 size= 1000 ;  iter= 7 

 size= 1000 ;  iter= 8 

 size= 1000 ;  iter= 9 

 size= 1000 ;  iter= 18 

 size= 1000 ;  iter= 15 

 size= 1000 ;  iter= 16 

 size= 1000 ;  iter= 10 

 size= 1000 ;  iter= 13 

 size= 1000 ;  iter= 17 

 size= 1000 ;  iter= 14 

 size= 1000 ;  iter= 11 

 size= 1000 ;  iter= 12 

 size= 1000 ;  iter= 27 

 size= 1000 ;  iter= 26 

 size= 1000 ;  iter= 19 

 size= 1000 ;  iter= 20 

 size= 1000 ;  iter= 24 

 size= 1000 ;  iter= 21 

 size= 1000 ;  iter= 25 

 size= 1000 ;  iter= 23 

 size= 1000 ;  iter= 22 

 size= 1000 ;  iter= 29 

 size= 1000 ;  iter= 36 

 size= 1000 ;  iter= 35 

 size= 1000 ;  iter= 31 

 size= 1000 ;  iter= 28 

 size= 1000 ;  iter= 33 

 size= 1000 ;  iter= 30 

 size= 1000 ;  iter= 34 

 size= 1000 ;  iter= 32 

 size= 1000 ;  iter= 38 

 size= 1000 ;  iter= 40 

 size= 1000 ;  iter= 45 

 size= 1000 ;  iter= 44 

 size= 1000 ;  iter= 37 

 size= 1000 ;  iter= 42 

 size= 1000 ;  iter= 43 

 size= 1000 ;  iter= 39 

 size= 1000 ;  iter= 41 

 size= 1000 ;  iter= 49 

 size= 1000 ;  iter= 47 

 size= 1000 ;  iter= 46 

 size= 1000 ;  iter= 48 

 size= 1000 ;  iter= 50 
