
 iter= 1 ;  day= 2 ;  method= PCA 
 iter= 18 ;  day= 4 ;  method= bPLS 

 iter= 10 ;  day= 4 ;  method= bPLS 

 iter= 11 ;  day= 4 ;  method= bPLS 

 iter= 17 ;  day= 4 ;  method= bPLS 

 iter= 15 ;  day= 4 ;  method= bPLS 

 iter= 16 ;  day= 4 ;  method= bPLS 

 iter= 12 ;  day= 5 ;  method= PCA 

 iter= 14 ;  day= 5 ;  method= PCA 

 iter= 13 ;  day= 5 ;  method= PCA 

 iter= 18 ;  day= 5 ;  method= PCA 

 iter= 10 ;  day= 5 ;  method= PCA 

 iter= 17 ;  day= 5 ;  method= PCA 

 iter= 11 ;  day= 5 ;  method= PCA 

 iter= 16 ;  day= 5 ;  method= PCA 

 iter= 15 ;  day= 5 ;  method= PCA 

 iter= 12 ;  day= 5 ;  method= bPLS 

 iter= 14 ;  day= 5 ;  method= bPLS 

 iter= 13 ;  day= 5 ;  method= bPLS 

 iter= 18 ;  day= 5 ;  method= bPLS 

 iter= 10 ;  day= 5 ;  method= bPLS 

 iter= 11 ;  day= 5 ;  method= bPLS 

 iter= 17 ;  day= 5 ;  method= bPLS 

 iter= 15 ;  day= 5 ;  method= bPLS 

 iter= 16 ;  day= 5 ;  method= bPLS 

 iter= 21 ;  day= 2 ;  method= PCA 

 iter= 23 ;  day= 2 ;  method= PCA 

 iter= 22 ;  day= 2 ;  method= PCA 

 iter= 27 ;  day= 2 ;  method= PCA 

 iter= 19 ;  day= 2 ;  method= PCA 

 iter= 20 ;  day= 2 ;  method= PCA 

 iter= 26 ;  day= 2 ;  method= PCA 

 iter= 24 ;  day= 2 ;  method= PCA 

 iter= 25 ;  day= 2 ;  method= PCA 

 iter= 21 ;  day= 2 ;  method= bPLS 

 iter= 23 ;  day= 2 ;  method= bPLS 

 iter= 27 ;  day= 2 ;  method= bPLS 

 iter= 22 ;  day= 2 ;  method= bPLS 

 iter= 19 ;  day= 2 ;  method= bPLS 

 iter= 26 ;  day= 2 ;  method= bPLS 

 iter= 20 ;  day= 2 ;  method= bPLS 

 iter= 24 ;  day= 2 ;  method= bPLS 

 iter= 25 ;  day= 2 ;  method= bPLS 

 iter= 21 ;  day= 3 ;  method= PCA 

 iter= 23 ;  day= 3 ;  method= PCA 

 iter= 27 ;  day= 3 ;  method= PCA 

 iter= 22 ;  day= 3 ;  method= PCA 

 iter= 19 ;  day= 3 ;  method= PCA 

 iter= 20 ;  day= 3 ;  method= PCA 

 iter= 26 ;  day= 3 ;  method= PCA 

 iter= 24 ;  day= 3 ;  method= PCA 

 iter= 25 ;  day= 3 ;  method= PCA 

 iter= 21 ;  day= 3 ;  method= bPLS 

