
 iter= 1 ;  day= 2 ;  method= PCA 
 iter= 3 ;  day= 8 ;  method= PCA 

 iter= 5 ;  day= 8 ;  method= PCA 

 iter= 1 ;  day= 8 ;  method= PCA 

 iter= 7 ;  day= 8 ;  method= ICA 

 iter= 6 ;  day= 8 ;  method= ICA 

 iter= 4 ;  day= 8 ;  method= ICA 

 iter= 8 ;  day= 8 ;  method= ICA 

 iter= 2 ;  day= 8 ;  method= ICA 

 iter= 9 ;  day= 8 ;  method= ICA 

 iter= 3 ;  day= 8 ;  method= ICA 

 iter= 5 ;  day= 8 ;  method= ICA 

 iter= 7 ;  day= 9 ;  method= PCA 

 iter= 6 ;  day= 9 ;  method= PCA 

 iter= 4 ;  day= 9 ;  method= PCA 

 iter= 1 ;  day= 8 ;  method= ICA 

 iter= 8 ;  day= 9 ;  method= PCA 

 iter= 2 ;  day= 9 ;  method= PCA 

 iter= 9 ;  day= 9 ;  method= PCA 

 iter= 3 ;  day= 9 ;  method= PCA 

 iter= 5 ;  day= 9 ;  method= PCA 

 iter= 1 ;  day= 9 ;  method= PCA 

 iter= 7 ;  day= 9 ;  method= ICA 

 iter= 6 ;  day= 9 ;  method= ICA 

 iter= 4 ;  day= 9 ;  method= ICA 

 iter= 8 ;  day= 9 ;  method= ICA 

 iter= 2 ;  day= 9 ;  method= ICA 

 iter= 9 ;  day= 9 ;  method= ICA 

 iter= 3 ;  day= 9 ;  method= ICA 

 iter= 7 ;  day= 10 ;  method= PCA 

 iter= 5 ;  day= 9 ;  method= ICA 

 iter= 6 ;  day= 10 ;  method= PCA 

 iter= 4 ;  day= 10 ;  method= PCA 

 iter= 1 ;  day= 9 ;  method= ICA 

 iter= 8 ;  day= 10 ;  method= PCA 

 iter= 2 ;  day= 10 ;  method= PCA 

 iter= 9 ;  day= 10 ;  method= PCA 

 iter= 3 ;  day= 10 ;  method= PCA 

 iter= 5 ;  day= 10 ;  method= PCA 

 iter= 1 ;  day= 10 ;  method= PCA 

